Repetition #1	Repetition #1	Repetition #1
2020-08-03 12:33:35.027339	2020-08-03 12:33:35.233049	0.20555
		0.205406
2020-08-03 12:33:35.244011	2020-08-03 12:33:35.449808	0.205452
		0.205648
2020-08-03 12:33:35.460527	2020-08-03 12:33:35.666332	0.205636
		0.20558
2020-08-03 12:33:35.677095	2020-08-03 12:33:35.882693	0.205209
		0.205318
2020-08-03 12:33:35.893469	2020-08-03 12:33:36.099019	0.204986
		0.205445
2020-08-03 12:33:36.109738	2020-08-03 12:33:36.315122	0.204948
		0.205409
2020-08-03 12:33:36.326127	2020-08-03 12:33:36.531702	0.204598
		0.205116
2020-08-03 12:33:36.542334	2020-08-03 12:33:36.747526	0.205035
		0.205289
2020-08-03 12:33:36.758154	2020-08-03 12:33:36.963433	0.204656
		0.204908
2020-08-03 12:33:36.974204	2020-08-03 12:33:37.179183	0.205054
		0.204706
2020-08-03 12:33:37.189895	2020-08-03 12:33:37.395188	0.205187
		0.205399
2020-08-03 12:33:37.405809	2020-08-03 12:33:37.610913	0.204768
		0.204458
2020-08-03 12:33:37.621575	2020-08-03 12:33:37.826321	0.205385
		0.204709
2020-08-03 12:33:37.837432	2020-08-03 12:33:38.042967	0.205307
		0.205138
2020-08-03 12:33:38.053937	2020-08-03 12:33:38.259161	0.205148
		0.204455
2020-08-03 12:33:38.270123	2020-08-03 12:33:38.475008	0.205313
		0.20496
2020-08-03 12:33:38.485741	2020-08-03 12:33:38.690933	0.205026
		0.205398
2020-08-03 12:33:38.701791	2020-08-03 12:33:38.906631	0.20553
		0.205177
2020-08-03 12:33:38.917237	2020-08-03 12:33:39.122775	0.204474
		0.204366
2020-08-03 12:33:39.133624	2020-08-03 12:33:39.339290	0.205353
		0.204999
2020-08-03 12:33:39.350054	2020-08-03 12:33:39.555454	
		
2020-08-03 12:33:39.566219	2020-08-03 12:33:39.771861	Repetition #2
		0.205066
2020-08-03 12:33:39.782798	2020-08-03 12:33:39.988626	0.205098
		0.205131
2020-08-03 12:33:39.999277	2020-08-03 12:33:40.204644	0.204973
		0.205017
2020-08-03 12:33:40.215545	2020-08-03 12:33:40.421040	0.204769
		0.205433
2020-08-03 12:33:40.432029	2020-08-03 12:33:40.637301	0.204791
		0.205237
2020-08-03 12:33:40.648033	2020-08-03 12:33:40.852963	0.205172
		0.204962
2020-08-03 12:33:40.863961	2020-08-03 12:33:41.069375	0.205381
		0.204994
2020-08-03 12:33:41.080088	2020-08-03 12:33:41.285435	0.205016
		0.205071
2020-08-03 12:33:41.296463	2020-08-03 12:33:41.502333	0.205165
		0.20495
2020-08-03 12:33:41.513141	2020-08-03 12:33:41.718691	0.204876
		0.204807
2020-08-03 12:33:41.729416	2020-08-03 12:33:41.934822	0.20501
		0.204895
2020-08-03 12:33:41.945618	2020-08-03 12:33:42.151070	0.205222
		0.205125
2020-08-03 12:33:42.162045	2020-08-03 12:33:42.367693	0.204885
		0.205065
2020-08-03 12:33:42.378323	2020-08-03 12:33:42.583959	0.205218
		0.204582
2020-08-03 12:33:42.594877	2020-08-03 12:33:42.800457	0.204906
		0.20521
2020-08-03 12:33:42.811229	2020-08-03 12:33:43.016438	0.205134
		0.204307
2020-08-03 12:33:43.027512	2020-08-03 12:33:43.232830	0.204989
		0.204819
2020-08-03 12:33:43.243586	2020-08-03 12:33:43.448572	0.205313
		0.205059
2020-08-03 12:33:43.459362	2020-08-03 12:33:43.664807	0.205211
		0.205274
2020-08-03 12:33:43.675408	2020-08-03 12:33:43.880356	0.225088
		0.205063
2020-08-03 12:33:43.890921	2020-08-03 12:33:44.096330	0.205039
		0.204816
2020-08-03 12:33:44.107054	2020-08-03 12:33:44.311652	0.204992
		0.205247
2020-08-03 12:33:44.322470	2020-08-03 12:33:44.527586	0.205018
		0.205119
2020-08-03 12:33:44.538428	2020-08-03 12:33:44.743463	0.204834
		0.204966
2020-08-03 12:33:44.754290	2020-08-03 12:33:44.959579	0.205154
		0.204826
2020-08-03 12:33:44.970412	2020-08-03 12:33:45.175068	0.204782
		0.204925
2020-08-03 12:33:45.185749	2020-08-03 12:33:45.390657	0.204924
		0.204753
2020-08-03 12:33:45.401315	2020-08-03 12:33:45.606369	0.204992
		0.205255
2020-08-03 12:33:45.617114	2020-08-03 12:33:45.821820	0.205113
		0.205245
2020-08-03 12:33:45.832666	2020-08-03 12:33:46.037853	0.205534
		0.205603
2020-08-03 12:33:46.048464	2020-08-03 12:33:46.253863	0.205566
		0.205722
2020-08-03 12:33:46.264673	2020-08-03 12:33:46.469441	0.205351
		0.205367
2020-08-03 12:33:46.480124	2020-08-03 12:33:46.684582	0.205564
		0.205804
2020-08-03 12:33:46.695237	2020-08-03 12:33:46.900622	0.205604
		0.20531
2020-08-03 12:33:46.911444	2020-08-03 12:33:47.116153	0.205398
		0.205713
2020-08-03 12:33:47.126766	2020-08-03 12:33:47.332073	0.205555
		0.205604
2020-08-03 12:33:47.342643	2020-08-03 12:33:47.547781	0.205499
		0.205463
2020-08-03 12:33:47.558309	2020-08-03 12:33:47.763457	0.204976
		0.205081
2020-08-03 12:33:47.774147	2020-08-03 12:33:47.978602	0.205513
		0.205147
2020-08-03 12:33:47.989357	2020-08-03 12:33:48.194670	0.205469
		0.205396
2020-08-03 12:33:48.205304	2020-08-03 12:33:48.410264	0.205628
		0.205562
2020-08-03 12:33:48.421044	2020-08-03 12:33:48.626070	0.205417
		0.20507
2020-08-03 12:33:48.636854	2020-08-03 12:33:48.842252	0.205515
		0.205522
2020-08-03 12:33:48.852971	2020-08-03 12:33:49.058501	0.205515
		0.20543
2020-08-03 12:33:49.069189	2020-08-03 12:33:49.274366	0.205264
		0.205328
2020-08-03 12:33:49.285180	2020-08-03 12:33:49.489654	0.205385
		0.205624
2020-08-03 12:33:49.500340	2020-08-03 12:33:49.704706	0.205456
		0.2057
2020-08-03 12:33:49.715253	2020-08-03 12:33:49.920606	0.205631
		0.205609
2020-08-03 12:33:49.931154	2020-08-03 12:33:50.136153	0.205082
		0.205231
		0.20517
		0.205348
Repetition #2	Repetition #2	0.205227
2020-08-03 12:33:50.146950	2020-08-03 12:33:50.352016	
		
2020-08-03 12:33:50.362828	2020-08-03 12:33:50.567926	Repetition #3
		0.205482
2020-08-03 12:33:50.578461	2020-08-03 12:33:50.783592	0.205303
		0.205632
2020-08-03 12:33:50.794126	2020-08-03 12:33:50.999099	0.205567
		0.205445
2020-08-03 12:33:51.009830	2020-08-03 12:33:51.214847	0.205469
		0.205263
2020-08-03 12:33:51.225465	2020-08-03 12:33:51.430234	0.205384
		0.205416
2020-08-03 12:33:51.440854	2020-08-03 12:33:51.646287	0.205673
		0.205568
2020-08-03 12:33:51.656957	2020-08-03 12:33:51.861748	0.205288
		0.205008
2020-08-03 12:33:51.872544	2020-08-03 12:33:52.077781	0.20552
		0.205392
2020-08-03 12:33:52.088712	2020-08-03 12:33:52.293884	0.204865
		0.205142
2020-08-03 12:33:52.304555	2020-08-03 12:33:52.509517	0.205162
		0.205201
2020-08-03 12:33:52.520368	2020-08-03 12:33:52.725749	0.205004
		0.205279
2020-08-03 12:33:52.736501	2020-08-03 12:33:52.941495	0.205128
		0.204989
2020-08-03 12:33:52.952114	2020-08-03 12:33:53.157130	0.204982
		0.204916
2020-08-03 12:33:53.168087	2020-08-03 12:33:53.373158	0.205023
		0.204844
2020-08-03 12:33:53.384013	2020-08-03 12:33:53.589178	0.205162
		0.20457
2020-08-03 12:33:53.599998	2020-08-03 12:33:53.804948	0.204858
		0.205167
2020-08-03 12:33:53.815542	2020-08-03 12:33:54.020418	0.205034
		0.204838
2020-08-03 12:33:54.031005	2020-08-03 12:33:54.235812	0.205188
		0.204977
2020-08-03 12:33:54.246655	2020-08-03 12:33:54.451665	0.204716
		0.204917
2020-08-03 12:33:54.462449	2020-08-03 12:33:54.667344	0.205011
		0.204695
2020-08-03 12:33:54.677947	2020-08-03 12:33:54.883169	0.205059
		0.204995
2020-08-03 12:33:54.893984	2020-08-03 12:33:55.099109	0.205011
		0.204692
2020-08-03 12:33:55.109973	2020-08-03 12:33:55.314858	0.204554
		0.20514
2020-08-03 12:33:55.325634	2020-08-03 12:33:55.530699	0.204714
		0.204991
2020-08-03 12:33:55.541295	2020-08-03 12:33:55.746513	0.204733
		0.204913
2020-08-03 12:33:55.757149	2020-08-03 12:33:55.961731	0.204958
		0.205326
2020-08-03 12:33:55.972415	2020-08-03 12:33:56.177321	0.205204
		0.205141
2020-08-03 12:33:56.188270	2020-08-03 12:33:56.393480	0.205049
		0.20531
2020-08-03 12:33:56.404075	2020-08-03 12:33:56.609209	0.205211
		0.204942
2020-08-03 12:33:56.619832	2020-08-03 12:33:56.824139	0.204964
		0.204687
2020-08-03 12:33:56.834870	2020-08-03 12:33:57.039859	0.205146
		0.205061
2020-08-03 12:33:57.050799	2020-08-03 12:33:57.255618	0.20492
		0.205294
2020-08-03 12:33:57.266228	2020-08-03 12:33:57.471541	0.204902
		0.205017
2020-08-03 12:33:57.482228	2020-08-03 12:33:57.687287	0.204948
		0.204637
2020-08-03 12:33:57.697914	2020-08-03 12:33:57.903125	0.205332
		0.20477
2020-08-03 12:33:57.913984	2020-08-03 12:33:58.119258	0.20514
		0.205025
2020-08-03 12:33:58.129974	2020-08-03 12:33:58.355062	0.204965
		0.204729
2020-08-03 12:33:58.365889	2020-08-03 12:33:58.570952	0.205292
		0.20504
2020-08-03 12:33:58.581549	2020-08-03 12:33:58.786588	0.204971
		0.204989
2020-08-03 12:33:58.797371	2020-08-03 12:33:59.002187	0.205069
		0.205219
2020-08-03 12:33:59.012907	2020-08-03 12:33:59.217899	0.205181
		0.205039
2020-08-03 12:33:59.228740	2020-08-03 12:33:59.433987	0.205252
		0.205264
2020-08-03 12:33:59.444577	2020-08-03 12:33:59.649595	0.205005
		0.20478
2020-08-03 12:33:59.660473	2020-08-03 12:33:59.865592	0.205087
		0.205188
2020-08-03 12:33:59.876465	2020-08-03 12:34:00.081299	0.204668
		0.205044
2020-08-03 12:34:00.091992	2020-08-03 12:34:00.296958	0.205193
		0.204667
2020-08-03 12:34:00.307827	2020-08-03 12:34:00.512981	0.204788
		0.203374
2020-08-03 12:34:00.523776	2020-08-03 12:34:00.728602	0.203452
		0.204804
2020-08-03 12:34:00.739203	2020-08-03 12:34:00.943985	0.204659
		0.204829
2020-08-03 12:34:00.954557	2020-08-03 12:34:01.159482	0.205135
		0.204699
2020-08-03 12:34:01.170105	2020-08-03 12:34:01.375029	0.204697
		
2020-08-03 12:34:01.385726	2020-08-03 12:34:01.590479	
		Repetition #4
2020-08-03 12:34:01.601117	2020-08-03 12:34:01.806109	0.204873
		0.204978
2020-08-03 12:34:01.816811	2020-08-03 12:34:02.022066	0.205165
		0.204599
2020-08-03 12:34:02.032743	2020-08-03 12:34:02.237856	0.205259
		0.205146
2020-08-03 12:34:02.248673	2020-08-03 12:34:02.453918	0.205326
		0.205075
2020-08-03 12:34:02.464642	2020-08-03 12:34:02.670176	0.20484
		0.204919
2020-08-03 12:34:02.681235	2020-08-03 12:34:02.886838	0.205271
		0.205184
2020-08-03 12:34:02.897712	2020-08-03 12:34:03.103278	0.20497
		0.204925
2020-08-03 12:34:03.114279	2020-08-03 12:34:03.320001	0.204892
		0.20506
2020-08-03 12:34:03.330958	2020-08-03 12:34:03.536309	0.205181
		0.204877
2020-08-03 12:34:03.546967	2020-08-03 12:34:03.752334	0.204523
		0.204815
2020-08-03 12:34:03.763362	2020-08-03 12:34:03.968926	0.204783
		0.20544
2020-08-03 12:34:03.979652	2020-08-03 12:34:04.185456	0.204981
		0.204882
2020-08-03 12:34:04.196370	2020-08-03 12:34:04.401974	0.204923
		0.204825
2020-08-03 12:34:04.412962	2020-08-03 12:34:04.618272	0.20493
		0.205334
2020-08-03 12:34:04.629159	2020-08-03 12:34:04.834557	0.20523
		0.205064
2020-08-03 12:34:04.845583	2020-08-03 12:34:05.051296	0.205275
		0.204991
2020-08-03 12:34:05.062125	2020-08-03 12:34:05.267680	0.205153
		0.204657
2020-08-03 12:34:05.278372	2020-08-03 12:34:05.483976	0.205214
		0.205017
2020-08-03 12:34:05.494892	2020-08-03 12:34:05.700391	0.204796
		0.20509
2020-08-03 12:34:05.711053	2020-08-03 12:34:05.916516	0.205059
		0.204894
2020-08-03 12:34:05.927432	2020-08-03 12:34:06.132408	0.205187
		0.204764
2020-08-03 12:34:06.143067	2020-08-03 12:34:06.348148	0.204889
		0.205269
2020-08-03 12:34:06.359035	2020-08-03 12:34:06.564548	0.205217
		0.205105
2020-08-03 12:34:06.575434	2020-08-03 12:34:06.780581	0.205281
		0.204956
2020-08-03 12:34:06.791432	2020-08-03 12:34:06.996901	0.20516
		0.204975
2020-08-03 12:34:07.007686	2020-08-03 12:34:07.213082	0.20494
		0.204638
2020-08-03 12:34:07.223996	2020-08-03 12:34:07.429624	0.20507
		0.205462
2020-08-03 12:34:07.440515	2020-08-03 12:34:07.646077	0.205199
		0.205107
2020-08-03 12:34:07.657082	2020-08-03 12:34:07.862499	0.205017
		0.205091
2020-08-03 12:34:07.873327	2020-08-03 12:34:08.078397	0.205046
		0.20512
2020-08-03 12:34:08.089395	2020-08-03 12:34:08.294910	0.204735
		0.205215
2020-08-03 12:34:08.305722	2020-08-03 12:34:08.511244	0.205349
		0.204848
2020-08-03 12:34:08.522233	2020-08-03 12:34:08.727748	0.205171
		0.204644
2020-08-03 12:34:08.738419	2020-08-03 12:34:08.943849	0.205362
		0.204998
2020-08-03 12:34:08.955231	2020-08-03 12:34:09.160495	0.205054
		0.204926
2020-08-03 12:34:09.171374	2020-08-03 12:34:09.376702	0.205212
		0.205022
2020-08-03 12:34:09.387376	2020-08-03 12:34:09.592761	0.205202
		0.205081
2020-08-03 12:34:09.603451	2020-08-03 12:34:09.809075	0.205087
		0.205206
2020-08-03 12:34:09.819951	2020-08-03 12:34:10.025407	0.205333
		0.204729
2020-08-03 12:34:10.036226	2020-08-03 12:34:10.241926	0.205212
		0.204599
2020-08-03 12:34:10.252678	2020-08-03 12:34:10.458309	0.204969
		0.204268
2020-08-03 12:34:10.469199	2020-08-03 12:34:10.674808	0.204994
		0.20477
2020-08-03 12:34:10.685523	2020-08-03 12:34:10.890605	0.204263
		0.20485
2020-08-03 12:34:10.901433	2020-08-03 12:34:11.106664	0.204552
		0.205375
2020-08-03 12:34:11.117641	2020-08-03 12:34:11.322811	0.20423
		0.204846
2020-08-03 12:34:11.333601	2020-08-03 12:34:11.538949	0.205008
		0.205074
2020-08-03 12:34:11.549983	2020-08-03 12:34:11.755210	0.205008
		0.204675
		0.205102
		0.215376
Repetition #3	Repetition #3	0.20473
2020-08-03 12:34:11.766305	2020-08-03 12:34:11.971787	0.204693
		0.204576
2020-08-03 12:34:11.982407	2020-08-03 12:34:12.187710	0.205047
		
2020-08-03 12:34:12.198545	2020-08-03 12:34:12.404177	
		Repetition #5
2020-08-03 12:34:12.414930	2020-08-03 12:34:12.620497	0.205212
		0.205046
2020-08-03 12:34:12.631373	2020-08-03 12:34:12.836818	0.205252
		0.204877
2020-08-03 12:34:12.847424	2020-08-03 12:34:13.052893	0.205429
		0.205217
2020-08-03 12:34:13.063609	2020-08-03 12:34:13.268872	0.204932
		0.20505
2020-08-03 12:34:13.279481	2020-08-03 12:34:13.484865	0.204869
		0.204926
2020-08-03 12:34:13.495597	2020-08-03 12:34:13.701013	0.20497
		0.205153
2020-08-03 12:34:13.711873	2020-08-03 12:34:13.917546	0.20529
		0.205241
2020-08-03 12:34:13.928504	2020-08-03 12:34:14.134072	0.2049
		0.205039
2020-08-03 12:34:14.145469	2020-08-03 12:34:14.350757	0.204998
		0.205167
2020-08-03 12:34:14.361608	2020-08-03 12:34:14.566616	0.204985
		0.204854
2020-08-03 12:34:14.577355	2020-08-03 12:34:14.782875	0.205615
		0.205569
2020-08-03 12:34:14.793924	2020-08-03 12:34:14.999316	0.205332
		0.205366
2020-08-03 12:34:15.010016	2020-08-03 12:34:15.214881	0.205228
		0.205444
2020-08-03 12:34:15.225594	2020-08-03 12:34:15.430736	0.205267
		0.205775
2020-08-03 12:34:15.441607	2020-08-03 12:34:15.646769	0.205693
		0.205401
2020-08-03 12:34:15.657577	2020-08-03 12:34:15.862778	0.205047
		0.204858
2020-08-03 12:34:15.873336	2020-08-03 12:34:16.078340	0.205332
		0.205184
2020-08-03 12:34:16.088999	2020-08-03 12:34:16.294278	0.205133
		0.204517
2020-08-03 12:34:16.305076	2020-08-03 12:34:16.510204	0.205222
		0.205236
2020-08-03 12:34:16.520867	2020-08-03 12:34:16.725856	0.204699
		0.204767
2020-08-03 12:34:16.736569	2020-08-03 12:34:16.941551	0.205157
		0.205278
2020-08-03 12:34:16.952143	2020-08-03 12:34:17.157059	0.205159
		0.205213
2020-08-03 12:34:17.167679	2020-08-03 12:34:17.372702	0.205302
		0.204968
2020-08-03 12:34:17.383375	2020-08-03 12:34:17.588219	0.205062
		0.204962
2020-08-03 12:34:17.598862	2020-08-03 12:34:17.804024	0.205175
		0.205096
2020-08-03 12:34:17.814808	2020-08-03 12:34:18.019378	0.205323
		0.20537
2020-08-03 12:34:18.030010	2020-08-03 12:34:18.234868	0.204842
		0.205069
2020-08-03 12:34:18.245568	2020-08-03 12:34:18.450735	0.205009
		0.205096
2020-08-03 12:34:18.461615	2020-08-03 12:34:18.666649	0.205108
		0.204945
2020-08-03 12:34:18.677268	2020-08-03 12:34:18.882106	0.205144
		0.205096
2020-08-03 12:34:18.892754	2020-08-03 12:34:19.097942	0.205298
		0.204968
2020-08-03 12:34:19.108549	2020-08-03 12:34:19.313526	0.204974
		0.20501
2020-08-03 12:34:19.324422	2020-08-03 12:34:19.529138	0.205248
		0.204949
2020-08-03 12:34:19.539877	2020-08-03 12:34:19.744794	0.205325
		0.205367
2020-08-03 12:34:19.755410	2020-08-03 12:34:19.960421	0.205076
		0.204702
2020-08-03 12:34:19.971271	2020-08-03 12:34:20.175966	0.205354
		0.204979
2020-08-03 12:34:20.186749	2020-08-03 12:34:20.391808	0.20532
		0.205051
2020-08-03 12:34:20.402325	2020-08-03 12:34:20.607320	0.204871
		0.205093
2020-08-03 12:34:20.617957	2020-08-03 12:34:20.822968	0.205142
		0.20467
2020-08-03 12:34:20.833601	2020-08-03 12:34:21.038293	0.205026
		0.204716
2020-08-03 12:34:21.048875	2020-08-03 12:34:21.253429	0.204952
		0.204672
2020-08-03 12:34:21.264029	2020-08-03 12:34:21.469169	0.205067
		0.204821
2020-08-03 12:34:21.479754	2020-08-03 12:34:21.684468	0.205336
		0.205083
2020-08-03 12:34:21.695017	2020-08-03 12:34:21.900008	0.204822
		0.204825
2020-08-03 12:34:21.910790	2020-08-03 12:34:22.115523	0.204675
		0.205159
2020-08-03 12:34:22.126114	2020-08-03 12:34:22.331027	0.205121
		0.205142
2020-08-03 12:34:22.341645	2020-08-03 12:34:22.546603	0.205342
		0.205345
2020-08-03 12:34:22.557261	2020-08-03 12:34:22.762587	0.204828
		0.205199
2020-08-03 12:34:22.773422	2020-08-03 12:34:22.978626	0.20505
		0.204937
2020-08-03 12:34:22.989523	2020-08-03 12:34:23.194664	0.204639
		0.205502
2020-08-03 12:34:23.205517	2020-08-03 12:34:23.410566	
		
2020-08-03 12:34:23.421187	2020-08-03 12:34:23.626497	Repetition #6
		0.205293
2020-08-03 12:34:23.637176	2020-08-03 12:34:23.842387	0.205713
		0.205377
2020-08-03 12:34:23.853022	2020-08-03 12:34:24.057964	0.205624
		0.205262
2020-08-03 12:34:24.068646	2020-08-03 12:34:24.273610	0.205295
		0.205395
2020-08-03 12:34:24.284493	2020-08-03 12:34:24.489180	0.205749
		0.205458
2020-08-03 12:34:24.500216	2020-08-03 12:34:24.705362	0.204816
		0.205422
2020-08-03 12:34:24.716056	2020-08-03 12:34:24.921117	0.205296
		0.205324
2020-08-03 12:34:24.931828	2020-08-03 12:34:25.136748	0.205278
		0.205647
2020-08-03 12:34:25.147397	2020-08-03 12:34:25.352691	0.205648
		0.205675
2020-08-03 12:34:25.363326	2020-08-03 12:34:25.568228	0.205165
		0.205381
2020-08-03 12:34:25.578903	2020-08-03 12:34:25.783920	0.205482
		0.205721
2020-08-03 12:34:25.794741	2020-08-03 12:34:25.999689	0.205591
		0.205122
2020-08-03 12:34:26.010220	2020-08-03 12:34:26.214857	0.205002
		0.204726
2020-08-03 12:34:26.225754	2020-08-03 12:34:26.431086	0.205277
		0.205004
2020-08-03 12:34:26.441853	2020-08-03 12:34:26.646623	0.20477
		0.20882
2020-08-03 12:34:26.657201	2020-08-03 12:34:26.862341	0.205281
		0.205182
2020-08-03 12:34:26.873174	2020-08-03 12:34:27.078199	0.205037
		0.205078
2020-08-03 12:34:27.088794	2020-08-03 12:34:27.293759	0.20492
		0.20481
2020-08-03 12:34:27.304478	2020-08-03 12:34:27.509207	0.204844
		0.204927
2020-08-03 12:34:27.519871	2020-08-03 12:34:27.725163	0.205324
		0.204976
2020-08-03 12:34:27.735781	2020-08-03 12:34:27.940821	0.205271
		0.204922
2020-08-03 12:34:27.951469	2020-08-03 12:34:28.156440	0.204955
		0.20512
2020-08-03 12:34:28.167277	2020-08-03 12:34:28.372266	0.205097
		0.204662
2020-08-03 12:34:28.382890	2020-08-03 12:34:28.587959	0.205235
		0.205125
2020-08-03 12:34:28.598730	2020-08-03 12:34:28.803949	0.204802
		0.205428
2020-08-03 12:34:28.814782	2020-08-03 12:34:29.019963	0.204893
		0.205159
2020-08-03 12:34:29.030721	2020-08-03 12:34:29.235760	0.204636
		0.204901
2020-08-03 12:34:29.246490	2020-08-03 12:34:29.451742	0.205022
		0.205303
2020-08-03 12:34:29.462342	2020-08-03 12:34:29.667606	0.205274
		0.20521
2020-08-03 12:34:29.678420	2020-08-03 12:34:29.883425	0.204856
		0.205205
2020-08-03 12:34:29.894268	2020-08-03 12:34:30.099048	0.204397
		0.20493
2020-08-03 12:34:30.109664	2020-08-03 12:34:30.314751	0.205057
		0.205397
2020-08-03 12:34:30.325599	2020-08-03 12:34:30.530787	0.205152
		0.204985
2020-08-03 12:34:30.541446	2020-08-03 12:34:30.746114	0.205272
		0.205
2020-08-03 12:34:30.756681	2020-08-03 12:34:30.961725	0.205073
		0.204821
2020-08-03 12:34:30.972504	2020-08-03 12:34:31.177697	0.205122
		0.204869
2020-08-03 12:34:31.188502	2020-08-03 12:34:31.393169	0.204932
		0.204388
2020-08-03 12:34:31.403973	2020-08-03 12:34:31.608761	0.205055
		0.204762
2020-08-03 12:34:31.619283	2020-08-03 12:34:31.822657	0.204872
		0.20517
2020-08-03 12:34:31.833262	2020-08-03 12:34:32.036714	0.204895
		0.205173
2020-08-03 12:34:32.047556	2020-08-03 12:34:32.252360	0.204726
		0.205275
2020-08-03 12:34:32.262892	2020-08-03 12:34:32.467551	0.205246
		0.205164
2020-08-03 12:34:32.478205	2020-08-03 12:34:32.683034	0.205128
		0.205132
2020-08-03 12:34:32.693710	2020-08-03 12:34:32.898845	0.2048
		0.205189
2020-08-03 12:34:32.909417	2020-08-03 12:34:33.114116	0.205177
		0.205446
2020-08-03 12:34:33.124960	2020-08-03 12:34:33.329657	0.205398
		0.204778
		0.204764
		0.205419
Repetition #4	Repetition #4	0.204717
2020-08-03 12:34:33.340379	2020-08-03 12:34:33.545252	0.204553
		0.204904
2020-08-03 12:34:33.556075	2020-08-03 12:34:33.761053	0.20516
		0.204743
2020-08-03 12:34:33.771801	2020-08-03 12:34:33.976966	0.205023
		0.204875
2020-08-03 12:34:33.987550	2020-08-03 12:34:34.192149	
		
2020-08-03 12:34:34.202866	2020-08-03 12:34:34.408125	Repetition #7
		0.205196
2020-08-03 12:34:34.418760	2020-08-03 12:34:34.623906	0.204784
		0.204886
2020-08-03 12:34:34.634709	2020-08-03 12:34:34.840035	0.204952
		0.205152
2020-08-03 12:34:34.850943	2020-08-03 12:34:35.056018	0.20486
		0.204832
2020-08-03 12:34:35.066535	2020-08-03 12:34:35.271375	0.20532
		0.205529
2020-08-03 12:34:35.282151	2020-08-03 12:34:35.487070	0.205475
		0.205449
2020-08-03 12:34:35.497726	2020-08-03 12:34:35.702997	0.204667
		0.205119
2020-08-03 12:34:35.713581	2020-08-03 12:34:35.918765	0.205047
		0.205085
2020-08-03 12:34:35.929604	2020-08-03 12:34:36.134574	0.205033
		0.205059
2020-08-03 12:34:36.145183	2020-08-03 12:34:36.350108	0.205085
		0.204721
2020-08-03 12:34:36.360801	2020-08-03 12:34:36.565693	0.204794
		0.204967
2020-08-03 12:34:36.576456	2020-08-03 12:34:36.781516	0.204923
		0.205103
2020-08-03 12:34:36.792112	2020-08-03 12:34:36.997293	0.204916
		0.205069
2020-08-03 12:34:37.007919	2020-08-03 12:34:37.212796	0.205274
		0.204835
2020-08-03 12:34:37.223371	2020-08-03 12:34:37.427894	0.20513
		0.205151
2020-08-03 12:34:37.438480	2020-08-03 12:34:37.643295	0.205159
		0.204897
2020-08-03 12:34:37.654198	2020-08-03 12:34:37.858981	0.205155
		0.20527
2020-08-03 12:34:37.869817	2020-08-03 12:34:38.075257	0.205266
		0.205034
2020-08-03 12:34:38.086079	2020-08-03 12:34:38.291060	0.205123
		0.205214
